product,review,rating
"Leaf Blower","This leaf blower is amazing! It has great power and is easy to use. The battery lasts a long time.",5
"Leaf Blower","I'm very satisfied with this product. It's powerful and lightweight.",4
"Leaf Blower","Good value for money. Works well for small yards.",3
"Garden Hose","This garden hose is durable and doesn't kink. Very happy with my purchase.",5
"Garden Hose","The hose is okay but the connections leak a bit. Could be better.",3
"Lawn Mower","Excellent lawn mower! Cuts grass evenly and is easy to maneuver.",5
"Lawn Mower","Works well but is a bit noisy. Still does a good job.",4
"Pruning Shears","These pruning shears are sharp and comfortable to use. Highly recommended.",5
"Pruning Shears","Good quality shears. They stay sharp for a long time.",4
"Garden Gloves","These garden gloves are comfortable and protect my hands well.",5
